"Print Date": 2019-MAY-22 21:05
"Formation Code","Formation Name"
"0050","QUATERNARY"
"1490","QUEEN CHARLOTTE GROUP"
"1741","RADIOACTIVE ZONE"
"8710","RED BEDS"
"4524","RED CREEK"
"8220","REDKNIFE"
"9991","REPEAT"
"3220","RITCHIE"
"3030","ROCK CREEK"
"6150","ROCKY MOUNTAIN"
"8920","RONNING"
"7405","RUNDLE"
"7232","SALTER"
"1730","SCATTER"
"4090","SCHOOLER CREEK"
"2970","SECOND BLACK SHALE"
"4532","SECOND BROWN MARKER"
"4605","SECOND GREEN MARKER"
"4592","SECOND ORANGE MARKER"
"1414","SECOND PETROLIFEROUS SHALE"
"1411","SECOND WHITE SPECKLED SHALE"
"4542","SEPTIMUS"
"1700","SHAFTESBURY"
"9945","SHEPPARD"
"7500","SHUNDA"
"1680","SIKANNI"
"8770","SILURIAN"
"4510","SIPHON"
"4511","SIPHON DISCONFORMITY"
"9960","SIYEH"
"1494","SKIDEGATE"
"0120","SKONUN"
"8400","SLAVE POINT"
"8185","SOUTHESK"
"2350","SPIRIT RIVER"
"0610","SPRAY"
"4950","SPRAY RIVER"
"9110","STEPHEN"
"6260","STODDART"
"8702","STONE"
"1660","SULLY"
"8500","SULPHUR POINT"
"9999","T.D."
"4200","TAKLA"
"6300","TAYLOR FLAT"
"4596","TEA CREEK MEMBER"
"0100","TERTIARY"
"8125","TETCHO"
"4920","TOAD"
"4910","TOAD GRAYLING"
"9975","TOMBSTONE MOUNTAIN"
"4000","TRIASSIC"
"4802","TRIASSIC D"
"4600","TRIASSIC VOLCANIC BASEMENT"
"8130","TROUT RIVER"
"4608","TRUTCH CREEK"
"7270","TUNNEL MTN"
"4512","TWO RIVERS"
"9971","UPPER APPEKUNNY"
"8640","UPPER CHINCHAGA"
"0200","UPPER CRETACEOUS"
"7390","UPPER DEBOLT"
"8070","UPPER DEVONIAN"
"4798","UPPER HALFWAY"
"8528","UPPER KEG RIVER"
"7200","UPPER KISKATINAW"
"9961","UPPER SIYEH"
"6295","UPPER TAYLOR FLAT"
"8240","UTAHN"
"8100","WABAMUN"
"1360","WAPIABI"
"1300","WAPITI"
"9976","WATERTON"
"8440","WATT MOUNTAIN"
"4585","WILDER"
"7236","WILEMAN"
"2550","WILRICH"
"9910","WINDERMERE SYSTEM"
"9100","WINDSOR MOUNTAIN"
"8135","WINTERBURN"
"8740","WOKKPASH"
"8270","WOODBEND"
"8760","YAHATINDA"
"3900","YAKOUN"
"4538","YELLOW MARKER"
